 ,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
188,22.227273,51.0,23,48,0.025958,0.044000000000000004,10,37,1.190476,8.0,0,11.0,0.6,2.4,0,11.680663867226555
189,22.227273,51.0,23,48,0.025958,0.044000000000000004,10,37,1.190476,8.0,0,11.0,0.829167,2.4,0,27.0
190,22.227273,51.0,23,48,0.025958,0.044000000000000004,10,37,1.383333,4.3,23,6.410917816436712,0.6,2.4,0,11.680663867226555
191,22.227273,51.0,23,48,0.025958,0.044000000000000004,10,37,1.383333,4.3,23,6.410917816436712,0.829167,2.4,0,27.0
192,38.958333,59.0,23,56,0.012292,0.027999999999999997,9,24,3.166667,9.0,23,13.0,1.435,2.7,22,11.680663867226555
193,38.958333,59.0,23,56,0.012292,0.027999999999999997,9,24,3.166667,9.0,23,13.0,1.3235290000000002,1.7,23,19.0
194,38.958333,59.0,23,56,0.012292,0.027999999999999997,9,24,3.1375,8.0,23,6.410917816436712,1.435,2.7,22,11.680663867226555
195,38.958333,59.0,23,56,0.012292,0.027999999999999997,9,24,3.1375,8.0,23,6.410917816436712,1.3235290000000002,1.7,23,19.0
196,46.166667,73.0,22,71,0.011458,0.025,10,21,6.8333330000000005,23.0,22,33.0,2.041667,7.2,22,11.680663867226555
197,46.166667,73.0,22,71,0.011458,0.025,10,21,6.8333330000000005,23.0,22,33.0,1.6583330000000003,3.4,23,39.0
198,46.166667,73.0,22,71,0.011458,0.025,10,21,6.7875,19.6,23,6.410917816436712,2.041667,7.2,22,11.680663867226555
199,46.166667,73.0,22,71,0.011458,0.025,10,21,6.7875,19.6,23,6.410917816436712,1.6583330000000003,3.4,23,39.0
200,28.291666999999997,63.0,1,61,0.013916999999999999,0.027999999999999997,11,24,3.416667,17.0,1,24.0,1.029167,5.9,1,11.680663867226555
